class,class_name,feature,mean_abs_shap
3,Low energy discharge,H2_median,0.6434868281404948
3,Low energy discharge,C2H2_std,0.6111269246365229
3,Low energy discharge,corr_CO_C2H2,0.5908246014885833
3,Low energy discharge,C2H4_mean,0.5906120151196217
3,Low energy discharge,corr_C2H4_C2H2,0.5853418983930213
3,Low energy discharge,C2H2_positive_diff_fraction,0.5690011422735033
3,Low energy discharge,H2_min,0.5099882364222735
3,Low energy discharge,C2H2_last,0.45759900714143614
3,Low energy discharge,H2_late_mean,0.4387346296162569
3,Low energy discharge,H2_late_minus_early,0.3733296067358945
3,Low energy discharge,C2H2_mean,0.37123536232217813
3,Low energy discharge,C2H2_late_minus_early,0.36848174229275915
3,Low energy discharge,H2_positive_diff_fraction,0.36817290451015566
3,Low energy discharge,C2H2_max,0.3493737593514087
3,Low energy discharge,C2H4_std_diff,0.3468530196577389
3,Low energy discharge,H2_q75,0.345930764578473
3,Low energy discharge,C2H4_median,0.2839097046691226
3,Low energy discharge,H2_mean,0.2808389753164343
3,Low energy discharge,C2H2_trend_r2,0.2668559419119068
3,Low energy discharge,C2H4_std,0.24612298883655065
3,Low energy discharge,C2H2_early_mean,0.23603910689768826
3,Low energy discharge,CO_median,0.20303489059674948
3,Low energy discharge,corr_CO_C2H4,0.1741995402343749
3,Low energy discharge,H2_trend_r2,0.1711145094301831
3,Low energy discharge,C2H2_slope,0.16897208211035644
3,Low energy discharge,C2H2_q25,0.11109675004785566
3,Low energy discharge,C2H2_first,0.10610535228480278
3,Low energy discharge,CO_late_minus_early,0.10366783366018917
3,Low energy discharge,H2_delta,0.08044635518098067
3,Low energy discharge,H2_mean_diff,0.08044635517973536
3,Low energy discharge,corr_H2_C2H2,0.05077070924963634
3,Low energy discharge,C2H4_q75,0.041989188888075346
3,Low energy discharge,C2H2_late_mean,0.03275782485807339
3,Low energy discharge,C2H4_q25,0.002119218644034382
4,Low-temperature overheating,C2H4_min,4.789661612495497
4,Low-temperature overheating,CO_q25,4.626434405152629
4,Low-temperature overheating,C2H4_first,3.3680419018260355
4,Low-temperature overheating,C2H4_q25,2.588159179219824
4,Low-temperature overheating,C2H4_std,2.396334068376185
4,Low-temperature overheating,CO_max,2.3855726779751607
4,Low-temperature overheating,C2H4_late_minus_early,2.2843910018454863
4,Low-temperature overheating,C2H4_q75,2.268197734896147
4,Low-temperature overheating,C2H4_last,2.191647324502754
4,Low-temperature overheating,H2_min,2.179401310656596
4,Low-temperature overheating,C2H4_max_abs_diff,2.141994902787486
4,Low-temperature overheating,CO_mean,2.140241481707966
4,Low-temperature overheating,CO_min,2.047997484254993
4,Low-temperature overheating,C2H4_late_mean,1.9925201972626836
4,Low-temperature overheating,H2_q25,1.8027109574967264
4,Low-temperature overheating,CO_max_abs_diff,1.6751597485524035
4,Low-temperature overheating,C2H2_q25,1.5241391980683465
4,Low-temperature overheating,C2H2_first,1.4883076015777927
4,Low-temperature overheating,C2H2_mean_diff,1.3658475311910698
4,Low-temperature overheating,C2H2_delta,1.3658475311816505
4,Low-temperature overheating,C2H4_slope,1.3436686668086597
4,Low-temperature overheating,CO_slope,1.2446527471499162
4,Low-temperature overheating,C2H2_std_diff,1.23440024501718
4,Low-temperature overheating,H2_median,1.2093521167123373
4,Low-temperature overheating,C2H2_slope,1.200210764406395
4,Low-temperature overheating,H2_first,1.1052614252205688
4,Low-temperature overheating,C2H4_early_mean,1.0253070045585553
4,Low-temperature overheating,H2_q75,1.0227073530451694
4,Low-temperature overheating,C2H2_max_abs_diff,1.0005923223792192
4,Low-temperature overheating,C2H4_positive_diff_fraction,0.995906946268114
4,Low-temperature overheating,CO_positive_diff_fraction,0.9597803764453966
4,Low-temperature overheating,C2H4_mean_diff,0.9535320023136266
4,Low-temperature overheating,C2H4_delta,0.9535320023113742
4,Low-temperature overheating,CO_std_diff,0.8423924840505885
4,Low-temperature overheating,C2H2_trend_r2,0.8217414708315636
4,Low-temperature overheating,H2_max,0.7233214789257459
4,Low-temperature overheating,C2H2_mean,0.7110198902290333
4,Low-temperature overheating,H2_std,0.7053638250049428
4,Low-temperature overheating,corr_H2_C2H4,0.6900687759032834
4,Low-temperature overheating,H2_delta,0.6459617702873154
4,Low-temperature overheating,H2_mean_diff,0.6459617702861143
4,Low-temperature overheating,CO_delta,0.620505792687979
4,Low-temperature overheating,CO_mean_diff,0.6205057926874126
4,Low-temperature overheating,C2H4_mean,0.6191314857158684
4,Low-temperature overheating,C2H2_positive_diff_fraction,0.6107073928736716
4,Low-temperature overheating,CO_first,0.6023514667673324
4,Low-temperature overheating,H2_last,0.564574220281422
4,Low-temperature overheating,CO_q75,0.5353784009768322
4,Low-temperature overheating,CO_median,0.5283774638257883
4,Low-temperature overheating,H2_positive_diff_fraction,0.5247240033167873
4,Low-temperature overheating,C2H4_std_diff,0.49595635436078594
4,Low-temperature overheating,CO_std,0.4883976897226728
4,Low-temperature overheating,C2H4_median,0.48325884956720255
4,Low-temperature overheating,CO_early_mean,0.4814471554524889
4,Low-temperature overheating,C2H2_late_minus_early,0.4562348272298484
4,Low-temperature overheating,H2_early_mean,0.4529782659854031
4,Low-temperature overheating,C2H2_last,0.44581195172213756
4,Low-temperature overheating,C2H2_q75,0.4416650278463316
4,Low-temperature overheating,H2_mean,0.42556462914631243
4,Low-temperature overheating,H2_slope,0.40001115272038795
4,Low-temperature overheating,H2_std_diff,0.3683410970479846
4,Low-temperature overheating,H2_late_minus_early,0.33210797777551215
4,Low-temperature overheating,CO_late_mean,0.2872280511240774
4,Low-temperature overheating,corr_H2_CO,0.2836155868190562
4,Low-temperature overheating,C2H2_min,0.2788232365902378
4,Low-temperature overheating,corr_C2H4_C2H2,0.2716876377816398
4,Low-temperature overheating,H2_late_mean,0.2502184073315454
4,Low-temperature overheating,CO_late_minus_early,0.24757013019623864
4,Low-temperature overheating,C2H2_median,0.22346321355882667
4,Low-temperature overheating,C2H4_max,0.22147344025261903
4,Low-temperature overheating,C2H2_max,0.18942753438353693
4,Low-temperature overheating,H2_trend_r2,0.18668808628597158
4,Low-temperature overheating,C2H4_trend_r2,0.1813570620349738
4,Low-temperature overheating,C2H2_early_mean,0.13501118847036236
4,Low-temperature overheating,corr_H2_C2H2,0.11786664131368867
4,Low-temperature overheating,C2H2_late_mean,0.09615650342574393
4,Low-temperature overheating,CO_last,0.09051221378289487
4,Low-temperature overheating,corr_CO_C2H2,0.03808450315479433
4,Low-temperature overheating,corr_CO_C2H4,0.03765657254760369
4,Low-temperature overheating,H2_max_abs_diff,0.027735331488336325
4,Low-temperature overheating,C2H2_std,0.004163595820034683
4,Low-temperature overheating,CO_trend_r2,0.0034511047366744345
