horizon_percent,representation,n_features,cv_macro_f1_mean,cv_macro_f1_std,test_accuracy,test_balanced_accuracy,test_macro_f1,test_weighted_f1,paired_ci95_low,paired_ci95_high
40,Statistical_28,28.0,0.7143565145146973,0.007816411937926909,0.9011111111111111,0.747353273040416,0.7544679169285252,0.9009418711608398,,
40,Temporal_82,82.0,0.7298464085681121,0.026938702440942253,0.9044444444444445,0.7638892721610842,0.7719174645907754,0.9048638520234764,,
40,Temporal_minus_Statistical,,,,,,0.017449547662250153,,-0.031100787551087174,0.06533394292181828
45,Statistical_28,28.0,0.7334533345628922,0.018022264695488312,0.9022222222222223,0.7551620970805255,0.7569027073474004,0.9031829455141842,,
45,Temporal_82,82.0,0.759209183783459,0.03014967769230565,0.9111111111111111,0.7876882131782168,0.7816814781840093,0.912515387043689,,
45,Temporal_minus_Statistical,,,,,,0.024778770836608954,,-0.02886227562952088,0.07888025046502194
50,Statistical_28,28.0,0.7462370827465576,0.02798727592922702,0.9122222222222223,0.7806405527849853,0.781046878177581,0.9130393705194506,,
50,Temporal_82,82.0,0.784904325010322,0.035677556674511994,0.9244444444444444,0.815669567226837,0.8124794092885911,0.9254870681364636,,
50,Temporal_minus_Statistical,,,,,,0.031432531111010076,,-0.013424420575803717,0.07975303237846694
55,Statistical_28,28.0,0.7766777392605002,0.025264123032491065,0.9155555555555556,0.7834727750251667,0.7833091589166183,0.9164818797736064,,
55,Temporal_82,82.0,0.8211084473948725,0.028669241440453647,0.9322222222222222,0.8407110582836591,0.8354584420997427,0.9329030292832792,,
55,Temporal_minus_Statistical,,,,,,0.052149283183124395,,0.005992013272287039,0.09963804934558541
60,Statistical_28,28.0,0.79404283731967,0.021816495751373614,0.92,0.8018276779619511,0.7967421661642472,0.9213409992156925,,
60,Temporal_82,82.0,0.8350871340483333,0.028432324299637293,0.94,0.8746962826686634,0.8603553146742516,0.9407439933021329,,
60,Temporal_minus_Statistical,,,,,,0.06361314851000444,,0.017738146411464786,0.11035884708582469
65,Statistical_28,28.0,0.8092203900923748,0.01873639932329231,0.9288888888888889,0.8230274765069177,0.8174274044229712,0.9299106475062859,,
