scenario,severity,repeat,seed,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_f1_change_vs_clean,seconds
contiguous_gap,0.1,1,11653,0.9555555555555556,0.9031146013649213,0.8957381061152621,0.9561026963974837,-0.0014047570016506583,0.2529570619999504
contiguous_gap,0.1,2,21653,0.9566666666666667,0.9034565986289431,0.8971428631169127,0.9571211687821545,0.0,0.2490833570000177
contiguous_gap,0.1,3,31653,0.9566666666666667,0.9034565986289431,0.8971428631169127,0.9571211687821545,0.0,0.25526850500000364
contiguous_gap,0.1,4,41653,0.9577777777777777,0.906505379116748,0.9018574475648773,0.9582389830285317,0.004714584447964576,0.25984007900001416
contiguous_gap,0.1,5,51653,0.9566666666666667,0.9034565986289431,0.8971428631169127,0.9571211687821545,0.0,0.25521677299980183
contiguous_gap,0.1,6,61653,0.9566666666666667,0.9034565986289431,0.8971428631169127,0.9571211687821545,0.0,0.2540786229999412
contiguous_gap,0.1,7,71653,0.9577777777777777,0.906505379116748,0.9018574475648773,0.9582389830285317,0.004714584447964576,0.25918996800010063
contiguous_gap,0.1,8,81653,0.9566666666666667,0.9034565986289431,0.8971428631169127,0.9571211687821545,0.0,0.25730302900001334
contiguous_gap,0.1,9,91653,0.9566666666666667,0.9034565986289431,0.8981066913640304,0.9571507932053146,0.0009638282471177151,0.25897627100016507
contiguous_gap,0.1,10,101653,0.9577777777777777,0.9037985958929651,0.8995112071530538,0.9581684819169608,0.002368344036141057,0.2527108919998682
contiguous_gap,0.1,11,111653,0.9566666666666667,0.9034565986289431,0.8971428631169127,0.9571211687821545,0.0,0.25679125099986777
contiguous_gap,0.1,12,121653,0.9566666666666667,0.9034565986289431,0.8971428631169127,0.9571211687821545,0.0,0.24812766000013653
contiguous_gap,0.1,13,131653,0.9566666666666667,0.9034565986289431,0.8971428631169127,0.9571211687821545,0.0,0.25552145599999676
contiguous_gap,0.1,14,141653,0.9555555555555556,0.9004078181411382,0.8933315667495279,0.9560471687223066,-0.0038112963673848643,0.2516367949999676
contiguous_gap,0.1,15,151653,0.9544444444444444,0.9000658208771164,0.8919293205908561,0.9550296114004103,-0.005213542526056658,0.2544867569999951
contiguous_gap,0.1,16,161653,0.9577777777777777,0.9037985958929651,0.8995112071530538,0.9581684819169608,0.002368344036141057,0.24817747799988865
contiguous_gap,0.1,17,171653,0.9566666666666667,0.9034565986289431,0.8971428631169127,0.9571211687821545,0.0,0.2507277699999122
contiguous_gap,0.1,18,181653,0.9588888888888889,0.90684737638077,0.9042257916010183,0.959286296163338,0.007082928484105633,0.25216222199992444
contiguous_gap,0.1,19,191653,0.9577777777777777,0.9037985958929651,0.8995112071530538,0.9581684819169608,0.002368344036141057,0.2537484700001187
contiguous_gap,0.2,0,1753,0.9577777777777777,0.9037985958929651,0.8995112071530538,0.9581684819169608,0.002368344036141057,0.25360286399995857
contiguous_gap,0.2,1,11753,0.9577777777777777,0.9085586394452696,0.9003180121311265,0.958322709422896,0.003175149014213785,0.25945111100008944
contiguous_gap,0.2,2,21753,0.9555555555555556,0.9004078181411382,0.8942526897065082,0.9560678611392515,-0.0028901734104045396,0.2710945300000276
contiguous_gap,0.2,3,31753,0.9566666666666667,0.8986965550766386,0.896263649839147,0.9569518577734049,-0.0008792132777657446,0.2547107010000218
contiguous_gap,0.2,4,41753,0.9555555555555556,0.905167861693443,0.8950956981694984,0.9562292265332815,-0.002047164947414304,0.24800079000010555
contiguous_gap,0.2,5,51753,0.9577777777777777,0.9037985958929651,0.8995112071530538,0.9581684819169608,0.002368344036141057,0.24879806200010535
contiguous_gap,0.2,6,61753,0.9577777777777777,0.9017453355644435,0.8960607392993682,0.958168305188456,-0.001082123817544467,0.25526342299986027
contiguous_gap,0.2,7,71753,0.9555555555555556,0.899584434484305,0.8956291816075173,0.9561673143069291,-0.0015136815093954592,0.24965512099993248
contiguous_gap,0.2,8,81753,0.9555555555555556,0.9031146013649213,0.8957381061152621,0.9561026963974837,-0.0014047570016506583,0.2549761849998049
contiguous_gap,0.2,9,91753,0.9533333333333334,0.8914336131801737,0.8886706448117941,0.9538756353474056,-0.008472218305118573,0.2606950530000631
contiguous_gap,0.2,10,101753,0.9533333333333334,0.8976705632845728,0.8900756807397333,0.9539821356243642,-0.007067182377179404,0.26250196199998754
contiguous_gap,0.2,11,111753,0.9566666666666667,0.9061633818527262,0.9004503176786534,0.9572196458592607,0.0033074545617406415,0.2590606439998737
contiguous_gap,0.2,12,121753,0.9566666666666667,0.9019796920768486,0.8945649881868769,0.957245657112854,-0.002577874930035806,0.25628084499999204
contiguous_gap,0.2,13,131753,0.9588888888888889,0.9041405931569869,0.9019259696744251,0.9592251743294943,0.004783106557512351,0.2525562200000877
contiguous_gap,0.2,14,141753,0.9566666666666667,0.9007498154051602,0.8956546946525528,0.9570846347881231,-0.0014881684643599513,0.25606193899989194
