scenario,severity,repeat,class_label,class_name,precision,recall,f1,support
random_missing_timestamps,0.05,5,2,Partial discharge,0.9210526315789473,0.9210526315789473,0.9210526315789473,38
random_missing_timestamps,0.05,5,3,Low energy discharge,0.851063829787234,0.8163265306122449,0.8333333333333334,49
random_missing_timestamps,0.05,5,4,Low-temperature overheating,0.8131868131868132,0.9024390243902439,0.8554913294797688,82
random_missing_timestamps,0.05,6,1,Normal mode,0.9834254143646409,0.9740082079343365,0.9786941580756013,731
random_missing_timestamps,0.05,6,2,Partial discharge,0.9210526315789473,0.9210526315789473,0.9210526315789473,38
random_missing_timestamps,0.05,6,3,Low energy discharge,0.851063829787234,0.8163265306122449,0.8333333333333334,49
random_missing_timestamps,0.05,6,4,Low-temperature overheating,0.8131868131868132,0.9024390243902439,0.8554913294797688,82
random_missing_timestamps,0.05,7,1,Normal mode,0.9834254143646409,0.9740082079343365,0.9786941580756013,731
random_missing_timestamps,0.05,7,2,Partial discharge,0.9210526315789473,0.9210526315789473,0.9210526315789473,38
random_missing_timestamps,0.05,7,3,Low energy discharge,0.851063829787234,0.8163265306122449,0.8333333333333334,49
random_missing_timestamps,0.05,7,4,Low-temperature overheating,0.8131868131868132,0.9024390243902439,0.8554913294797688,82
random_missing_timestamps,0.05,8,1,Normal mode,0.9834254143646409,0.9740082079343365,0.9786941580756013,731
random_missing_timestamps,0.05,8,2,Partial discharge,0.9210526315789473,0.9210526315789473,0.9210526315789473,38
random_missing_timestamps,0.05,8,3,Low energy discharge,0.851063829787234,0.8163265306122449,0.8333333333333334,49
random_missing_timestamps,0.05,8,4,Low-temperature overheating,0.8131868131868132,0.9024390243902439,0.8554913294797688,82
random_missing_timestamps,0.05,9,1,Normal mode,0.9834254143646409,0.9740082079343365,0.9786941580756013,731
random_missing_timestamps,0.05,9,2,Partial discharge,0.9210526315789473,0.9210526315789473,0.9210526315789473,38
random_missing_timestamps,0.05,9,3,Low energy discharge,0.851063829787234,0.8163265306122449,0.8333333333333334,49
random_missing_timestamps,0.05,9,4,Low-temperature overheating,0.8131868131868132,0.9024390243902439,0.8554913294797688,82
random_missing_timestamps,0.05,10,1,Normal mode,0.9834254143646409,0.9740082079343365,0.9786941580756013,731
random_missing_timestamps,0.05,10,2,Partial discharge,0.9210526315789473,0.9210526315789473,0.9210526315789473,38
random_missing_timestamps,0.05,10,3,Low energy discharge,0.851063829787234,0.8163265306122449,0.8333333333333334,49
random_missing_timestamps,0.05,10,4,Low-temperature overheating,0.8131868131868132,0.9024390243902439,0.8554913294797688,82
random_missing_timestamps,0.05,11,1,Normal mode,0.9834254143646409,0.9740082079343365,0.9786941580756013,731
random_missing_timestamps,0.05,11,2,Partial discharge,0.9210526315789473,0.9210526315789473,0.9210526315789473,38
random_missing_timestamps,0.05,11,3,Low energy discharge,0.851063829787234,0.8163265306122449,0.8333333333333334,49
random_missing_timestamps,0.05,11,4,Low-temperature overheating,0.8131868131868132,0.9024390243902439,0.8554913294797688,82
random_missing_timestamps,0.05,12,1,Normal mode,0.9834254143646409,0.9740082079343365,0.9786941580756013,731
random_missing_timestamps,0.05,12,2,Partial discharge,0.9210526315789473,0.9210526315789473,0.9210526315789473,38
random_missing_timestamps,0.05,12,3,Low energy discharge,0.851063829787234,0.8163265306122449,0.8333333333333334,49
random_missing_timestamps,0.05,12,4,Low-temperature overheating,0.8131868131868132,0.9024390243902439,0.8554913294797688,82
random_missing_timestamps,0.05,13,1,Normal mode,0.9834254143646409,0.9740082079343365,0.9786941580756013,731
random_missing_timestamps,0.05,13,2,Partial discharge,0.9210526315789473,0.9210526315789473,0.9210526315789473,38
random_missing_timestamps,0.05,13,3,Low energy discharge,0.851063829787234,0.8163265306122449,0.8333333333333334,49
random_missing_timestamps,0.05,13,4,Low-temperature overheating,0.8131868131868132,0.9024390243902439,0.8554913294797688,82
random_missing_timestamps,0.05,14,1,Normal mode,0.9834254143646409,0.9740082079343365,0.9786941580756013,731
random_missing_timestamps,0.05,14,2,Partial discharge,0.9210526315789473,0.9210526315789473,0.9210526315789473,38
random_missing_timestamps,0.05,14,3,Low energy discharge,0.851063829787234,0.8163265306122449,0.8333333333333334,49
random_missing_timestamps,0.05,14,4,Low-temperature overheating,0.8131868131868132,0.9024390243902439,0.8554913294797688,82
random_missing_timestamps,0.05,15,1,Normal mode,0.9834254143646409,0.9740082079343365,0.9786941580756013,731
random_missing_timestamps,0.05,15,2,Partial discharge,0.9210526315789473,0.9210526315789473,0.9210526315789473,38
random_missing_timestamps,0.05,15,3,Low energy discharge,0.851063829787234,0.8163265306122449,0.8333333333333334,49
random_missing_timestamps,0.05,15,4,Low-temperature overheating,0.8131868131868132,0.9024390243902439,0.8554913294797688,82
random_missing_timestamps,0.05,16,1,Normal mode,0.9834254143646409,0.9740082079343365,0.9786941580756013,731
random_missing_timestamps,0.05,16,2,Partial discharge,0.9210526315789473,0.9210526315789473,0.9210526315789473,38
random_missing_timestamps,0.05,16,3,Low energy discharge,0.851063829787234,0.8163265306122449,0.8333333333333334,49
random_missing_timestamps,0.05,16,4,Low-temperature overheating,0.8131868131868132,0.9024390243902439,0.8554913294797688,82
random_missing_timestamps,0.05,17,1,Normal mode,0.9834254143646409,0.9740082079343365,0.9786941580756013,731
random_missing_timestamps,0.05,17,2,Partial discharge,0.9210526315789473,0.9210526315789473,0.9210526315789473,38
random_missing_timestamps,0.05,17,3,Low energy discharge,0.851063829787234,0.8163265306122449,0.8333333333333334,49
random_missing_timestamps,0.05,17,4,Low-temperature overheating,0.8131868131868132,0.9024390243902439,0.8554913294797688,82
random_missing_timestamps,0.05,18,1,Normal mode,0.9834254143646409,0.9740082079343365,0.9786941580756013,731
random_missing_timestamps,0.05,18,2,Partial discharge,0.9210526315789473,0.9210526315789473,0.9210526315789473,38
random_missing_timestamps,0.05,18,3,Low energy discharge,0.851063829787234,0.8163265306122449,0.8333333333333334,49
